timestamp,open,high,low,close,volume
2023-12-29,1018.9500,1046.3500,959.8000,1032.8500,20195702
2023-11-30,899.8500,1018.0000,896.0000,1014.5500,5656100
2023-10-31,923.6500,961.3500,900.7500,914.2000,5953476
2023-09-29,856.7500,948.0000,852.9000,926.4000,2214850
2023-08-31,890.6500,900.0000,847.6000,856.8000,26344391
2023-07-31,878.2500,901.5500,859.2500,890.2500,6105965
2023-06-30,841.0000,882.9500,819.0000,878.1500,21349317
2023-05-31,796.4500,888.0000,774.0000,857.4000,3211069
2023-04-28,755.2500,802.0000,752.2000,799.0000,2566845
2023-03-31,743.0000,795.5000,736.2000,749.0000,3335772
2023-02-28,775.0000,795.4500,738.8500,742.9500,1333532
2023-01-31,807.0000,826.0000,752.0000,770.2500,1844289
2022-12-30,850.0000,853.0000,800.4000,806.7000,2456646
2022-11-30,834.5000,877.1000,804.5000,848.6500,3763252
2022-10-31,808.5000,833.7000,758.5500,832.0000,8140789
2022-09-30,723.1000,808.8500,720.0500,799.7500,10614679
2022-08-30,679.0000,792.6500,677.8500,726.5000,8611132
2022-07-29,686.0000,696.5500,629.0500,677.9000,7330696
2022-06-30,698.1500,706.0000,634.2000,683.9000,3970019
2022-05-31,730.5500,742.7000,668.2000,701.1000,7182810
2022-04-29,757.1500,780.3500,717.0000,739.7000,4175617
2022-03-31,686.2500,769.7500,638.9000,755.4000,4587535
2022-02-28,734.0000,735.0000,645.6000,686.2500,4387956
2022-01-31,684.1500,752.8000,677.5000,729.4000,4694889
2021-12-31,732.1000,737.4000,645.1000,683.8500,8823282
2021-11-30,689.0000,781.9000,689.0000,728.7500,6934075
2021-10-29,688.5000,714.6000,667.9000,686.2500,16165205
2021-09-30,668.8999,752.6499,647.9999,688.1500,20393029
2021-08-31,565.0500,667.9499,559.6500,663.6999,17465597
2021-07-30,527.0500,576.2000,519.9000,561.9000,15781929
2021-06-30,538.0000,562.0500,518.7000,525.0500,13868216
2021-05-31,532.0000,576.8000,518.7000,534.9500,10691855
2021-04-30,519.7500,549.9500,514.2500,537.3000,8429938
2021-03-31,556.5500,559.5500,499.3500,517.3000,14919655
2021-02-26,561.5000,622.9999,549.5500,557.1000,21153777
2021-01-29,510.6000,610.0000,508.2500,553.2000,19030568
2020-12-31,464.2500,526.9500,460.5500,509.3000,16752057
2020-11-27,434.9000,494.6500,434.6500,463.3000,10288548
2020-10-30,427.9000,487.8000,394.0500,433.6000,19579602
2020-09-30,517.0000,558.9500,414.9500,420.9000,24226333
2020-08-31,551.5500,565.0500,508.5000,513.9500,15064407
2020-07-31,574.0000,596.6000,543.4000,554.8500,17674688
2020-06-30,560.0000,593.7000,537.0000,559.6500,13541422
2020-05-29,510.0000,611.7000,499.0000,552.4000,192041808
2020-04-30,443.0000,536.0000,412.6000,514.3500,8841104
2020-03-31,534.1500,535.9500,381.0500,440.6000,15272193
2020-02-28,495.5500,568.6000,495.5000,524.0500,8832646
2020-01-31,458.0000,527.2000,435.4000,496.7000,14666590
2019-12-31,470.0000,485.7500,417.9000,455.8000,11589536
2019-11-29,363.1000,455.6500,350.5000,442.3000,21084022
2019-10-31,368.2500,396.5500,325.6000,374.4000,11302221
2019-09-30,347.0500,374.6000,332.6500,367.2500,4295823
2019-08-30,335.7000,378.7500,321.6000,347.0500,19320680
2019-07-31,343.0500,371.0000,328.1500,337.8000,6326919
2019-06-28,350.5000,366.2000,334.8000,346.7000,4788431
2019-05-31,321.9000,356.0000,312.9500,348.5000,5974421
2019-04-30,331.9999,363.9499,314.2500,320.2000,11693957
2019-03-29,320.4999,356.3998,302.5998,332.8999,10599071
2019-02-28,305.9499,326.8498,293.2999,317.9499,4880727
2019-01-31,316.7999,344.9999,294.7999,307.1499,22106393
2018-12-31,314.9999,339.9999,282.2499,312.8999,9217648
2018-11-30,294.4999,339.7499,287.5499,313.5499,8598714
2018-10-31,339.9999,340.1999,276.9999,292.1499,38080783
2018-09-28,385.4998,397.4998,335.4499,338.2499,6419932
2018-08-31,391.4998,398.5499,362.7999,383.3498,7081853
2018-07-31,380.9999,392.0499,331.1998,390.6999,14884804
2018-06-29,378.4499,393.9999,357.5998,380.9999,6807522
2018-05-31,410.9999,418.2499,352.0998,373.7999,6185379
2018-04-30,401.3999,426.9998,374.5999,409.5499,8674495
